0,1,2,3,4,5,6,7,8,9,10
frankfurter,whole milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chicken,fruit/vegetable juice,cake bar,,,,,,,,
curd,yogurt,,,,,,,,,
cat food,shopping bags,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,grapes,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
whole milk,brown bread,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
other vegetables,brown bread,whipped/sour cream,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
citrus fruit,coffee,,,,,,,,,
root vegetables,chocolate marshmallow,,,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
meat,bottled water,soda,,,,,,,,
pork,bottled water,bottled water,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
curd,soda,,,,,,,,,
sausage,meat spreads,,,,,,,,,
onions,canned beer,,,,,,,,,
napkins,dessert,,,,,,,,,
yogurt,pet care,,,,,,,,,
berries,soap,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
soups,margarine,,,,,,,,,
sausage,pastry,,,,,,,,,
yogurt,bottled water,,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
citrus fruit,candy,bottled water,rolls/buns,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
onions,long life bakery product,,,,,,,,,
butter,detergent,,,,,,,,,
canned beer,ready soups,,,,,,,,,
whole milk,processed cheese,curd cheese,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
yogurt,canned beer,,,,,,,,,
tropical fruit,canned beer,detergent,bottled water,,,,,,,
root vegetables,yogurt,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
bottled beer,frozen meals,,,,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
other vegetables,curd,,,,,,,,,
rolls/buns,white bread,,,,,,,,,
frankfurter,dessert,,,,,,,,,
napkins,waffles,,,,,,,,,
sausage,packaged fruit/vegetables,curd,fruit/vegetable juice,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
beverages,bottled water,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
nut snack,bottled water,,,,,,,,,
whole milk,canned beer,,,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
tropical fruit,yogurt,fruit/vegetable juice,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
margarine,specialty bar,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
margarine,other vegetables,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
chicken,root vegetables,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
sausage,long life bakery product,curd,,,,,,,,
turkey,curd,sugar,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pip fruit,curd,coffee,rolls/buns,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
ham,bottled water,,,,,,,,,
berries,sliced cheese,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
pip fruit,turkey,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
beef,tea,oil,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
pip fruit,soda,,,,,,,,,
misc. beverages,yogurt,,,,,,,,,
other vegetables,yogurt,brown bread,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
canned beer,other vegetables,dessert,pastry,,,,,,,
other vegetables,pip fruit,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
grapes,napkins,,,,,,,,,
other vegetables,pastry,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
rolls/buns,bottled water,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
hamburger meat,fruit/vegetable juice,,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
hard cheese,liquor,,,,,,,,,
pet care,pip fruit,candy,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
whipped/sour cream,salty snack,,,,,,,,,
sparkling wine,butter,,,,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
seasonal products,shopping bags,,,,,,,,,
chicken,pork,brandy,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
pork,rolls/buns,,,,,,,,,
beef,butter,,,,,,,,,
shopping bags,margarine,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
meat,salt,,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
soda,instant coffee,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
ham,tropical fruit,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
pastry,soft cheese,,,,,,,,,
yogurt,rice,butter,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
napkins,other vegetables,,,,,,,,,
misc. beverages,other vegetables,rolls/buns,brown bread,,,,,,,
soda,yogurt,,,,,,,,,
mustard,whole milk,tropical fruit,whole milk,,,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
soda,other vegetables,chocolate,,,,,,,,
onions,specialty chocolate,,,,,,,,,
butter milk,napkins,,,,,,,,,
yogurt,chicken,soda,,,,,,,,
yogurt,jam,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
zwieback,rice,,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
yogurt,softener,,,,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
sausage,whole milk,cake bar,,,,,,,,
chocolate,other vegetables,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
coffee,domestic eggs,,,,,,,,,
root vegetables,salt,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
whole milk,domestic eggs,syrup,,,,,,,,
pastry,other vegetables,other vegetables,butter milk,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
sweet spreads,margarine,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
butter,shopping bags,newspapers,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
sausage,pot plants,,,,,,,,,
pip fruit,curd,,,,,,,,,
zwieback,soda,curd,,,,,,,,
margarine,cream cheese ,misc. beverages,,,,,,,,
sausage,other vegetables,,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
pip fruit,pork,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
beef,semi-finished bread,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
newspapers,napkins,,,,,,,,,
whole milk,rice,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
herbs,cereals,,,,,,,,,
meat,rolls/buns,,,,,,,,,
specialty bar,shopping bags,chocolate,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
soda,salty snack,candy,,,,,,,,
rolls/buns,dessert,,,,,,,,,
ham,UHT-milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
brown bread,flour,,,,,,,,,
tropical fruit,napkins,whole milk,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
other vegetables,whole milk,,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
domestic eggs,candy,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
onions,soda,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
tropical fruit,soda,margarine,,,,,,,,
other vegetables,cereals,cleaner,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
other vegetables,frozen meals,rolls/buns,canned beer,white bread,,,,,,
other vegetables,dish cleaner,,,,,,,,,
potato products,specialty bar,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
frankfurter,white wine,,,,,,,,,
whole milk,bottled water,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
tropical fruit,whole milk,margarine,bottled beer,,,,,,,
yogurt,onions,,,,,,,,,
soda,shopping bags,,,,,,,,,
turkey,root vegetables,,,,,,,,,
bottled beer,herbs,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
sausage,root vegetables,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
meat,root vegetables,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
meat,root vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
dessert,yogurt,,,,,,,,,
chewing gum,soda,red/blush wine,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
pork,margarine,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
pork,brown bread,,,,,,,,,
whole milk,grapes,pastry,yogurt,,,,,,,
hamburger meat,popcorn,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
tropical fruit,baking powder,,,,,,,,,
chicken,root vegetables,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
bottled beer,oil,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
beef,shopping bags,pickled vegetables,,,,,,,,
sausage,rolls/buns,rice,,,,,,,,
yogurt,soda,,,,,,,,,
beef,chicken,butter milk,canned beer,processed cheese,shopping bags,,,,,
curd,chicken,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
soda,flower (seeds),jam,,,,,,,,
bottled water,bottled water,,,,,,,,,
specialty bar,tropical fruit,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
domestic eggs,candy,,,,,,,,,
pork,rolls/buns,,,,,,,,,
onions,cream cheese ,,,,,,,,,
